customer_id,name,email,signup_date,plan,monthly_spend,last_login,churned,churn_date
1,Andrew Stevens,castanedadennis@yahoo.com,2023-10-29,pro,493.89,2024-03-01 13:21:33,False,
2,Stephanie Dixon,parrishemily@yahoo.com,2024-06-13,basic,408.73,2024-09-16 09:26:58,False,
3,Adam Velasquez,crystallowery@yahoo.org,2023-07-31,enterprise,221.27,2024-12-19 22:20:34,False,
4,Mary Riley,roberthudson@yahoo.com,2024-04-12,enterprise,213.91,2024-12-19 18:40:38,False,
5,Jose Silva,robintran@yahoo.org,2023-09-22,enterprise,282.72,2024-01-25 11:42:12,False,
6,James Jenkins,tanyacarter@yahoo.org,2024-05-06,basic,182.74,2024-11-10 15:49:00,False,
7,Cynthia Thompson,williamadams@yahoo.org,2023-12-29,enterprise,287.86,2024-02-23 10:36:49,True,2025-04-18
8,Dennis Gibbs,ritaharvey@yahoo.com,2023-11-27,free,354.17,2024-06-21 06:56:10,False,
9,Johnny Parker,christine52@yahoo.net,2024-03-07,enterprise,31.66,2024-09-18 02:45:50,True,2025-01-19
10,Jacob Hawkins,nicholas14@yahoo.com,2025-04-16,pro,45.49,2025-05-02 03:24:51,True,2025-05-14
11,Eric Harrison,david75@yahoo.org,2025-05-07,pro,104.99,2025-05-12 11:03:34,False,
12,Aimee Small,brandonhaley@yahoo.org,2023-12-30,basic,357.8,2024-11-28 23:46:35,False,
13,Richard Andrade,louishoward@yahoo.com,2025-02-27,pro,312.18,2025-05-15 22:46:56,False,
14,Nicholas Smith,tammytodd@yahoo.com,2024-08-10,basic,445.25,2024-12-12 18:18:19,True,2024-09-19
15,Carolyn Thomas,sbennett@yahoo.org,2024-10-29,pro,277.06,2025-04-12 01:36:46,False,
16,Carla Jones,parkerjoshua@yahoo.net,2023-05-21,pro,183.74,2024-04-18 06:29:46,True,2024-05-14
17,Patricia Collins,breannawood@yahoo.net,2023-12-01,pro,26.46,2024-11-15 10:20:07,False,
18,Ashley Huber,briannawilliams@yahoo.net,2024-12-12,pro,485.61,2025-02-27 02:25:41,False,
19,Alyssa Taylor,holmeskarla@yahoo.com,2024-10-02,free,153.22,2024-10-13 11:51:22,True,2024-11-12
20,Kaitlin Rivas,crystal94@yahoo.org,2024-07-24,enterprise,5.58,2024-11-22 01:11:51,False,
21,Dustin Phelps,beckerkenneth@yahoo.net,2023-12-11,basic,480.11,2024-04-07 19:30:03,False,
22,Anna Becker,rodney94@yahoo.org,2025-03-23,basic,149.44,2025-04-16 01:14:58,False,
23,Kimberly Shelton,anne18@yahoo.org,2024-11-18,enterprise,146.56,2025-04-21 14:53:23,False,
24,Derek Brown,simpsondonna@yahoo.com,2024-04-10,enterprise,264.8,2024-07-07 18:44:34,True,2024-09-08
25,Patricia Stevens,davidgarcia@yahoo.org,2023-09-16,free,489.52,2024-10-12 02:46:29,False,
26,Jeffery Campos,kristen92@yahoo.net,2025-03-02,basic,12.37,2025-03-16 10:02:34,False,
27,Gerald Richards,juliasmith@yahoo.com,2024-05-08,free,34.59,2025-04-11 21:10:52,True,2025-04-14
28,Jerry Hudson,rebeccaball@yahoo.org,2025-02-05,free,44.83,2025-03-21 16:45:53,False,
