customer_id,name,email,signup_date,plan,monthly_spend,last_login,churned,churn_date
1,Amber Morris,wilcoxstephen@yahoo.net,2023-12-31,free,161.48,2025-05-18 20:51:48,False,
2,Lisa Moore,jonathan28@yahoo.net,2025-02-15,pro,325.22,2025-05-18 20:15:55,False,
3,Judy Watkins,jonathanwilliams@yahoo.net,2023-11-21,free,263.55,2024-04-24 23:56:26,True,2024-05-07
4,Scott James,smithphilip@yahoo.org,2025-02-04,free,276.43,2025-03-10 08:04:09,False,
5,Tony Wright,diazjonathan@yahoo.net,2024-12-24,pro,323.76,2025-05-12 01:28:22,False,
6,Robert Hodges,scottscott@yahoo.org,2023-06-22,basic,466.34,2024-04-07 15:32:28,False,
7,Katherine Duke,smithrobin@yahoo.com,2024-11-22,free,191.46,2025-03-27 20:31:38,False,
8,John Rogers,mgonzalez@yahoo.org,2024-03-09,pro,25.76,2025-03-16 06:16:41,False,
9,Keith Rhodes,kevin59@yahoo.org,2024-10-05,free,52.61,2025-02-02 11:15:03,False,
10,Catherine Wallace,teresa10@yahoo.com,2024-05-30,free,456.9,2024-07-20 00:46:14,False,
11,James Wells,johnfrench@yahoo.com,2024-03-07,free,113.61,2025-04-03 09:37:11,False,
12,Paige Brown,joshua75@yahoo.net,2025-02-23,pro,69.39,2025-04-12 14:52:49,False,
13,Suzanne Kelly,dixonkimberly@yahoo.com,2024-06-11,pro,90.44,2024-08-15 00:41:46,True,2025-03-24
14,Catherine Hubbard,dparker@yahoo.org,2023-12-15,free,239.97,2025-01-24 15:09:16,True,2023-12-22
15,Carl Long,angela71@yahoo.org,2024-12-12,basic,60.92,2025-01-23 20:16:26,False,
16,Katie Martin,eclements@yahoo.com,2024-01-07,enterprise,41.37,2025-01-18 21:14:45,False,
17,Kenneth Pierce,melissa58@yahoo.com,2025-01-03,enterprise,276.94,2025-01-05 15:06:08,True,2025-01-25
18,Richard White,jhoward@yahoo.net,2024-06-19,basic,203.81,2025-01-01 07:50:40,False,
19,Sabrina Weeks,nharrison@yahoo.net,2023-07-26,free,489.57,2024-10-21 17:01:50,False,
20,Jacob Kane,estradasherry@yahoo.net,2023-07-23,basic,132.19,2024-05-09 04:10:31,True,2024-07-16
21,Scott Williams,sandrafritz@yahoo.net,2024-11-10,free,376.66,2025-05-07 21:53:42,False,
22,Timothy Colon,thomasaudrey@yahoo.org,2024-02-26,enterprise,2.74,2024-07-20 10:05:37,True,2025-04-12
23,Amber Harrison,warrenalexis@yahoo.com,2024-05-03,enterprise,266.77,2025-01-04 14:07:53,False,
24,Andrew Garcia,tellis@yahoo.com,2024-12-12,enterprise,229.74,2025-05-02 00:10:57,True,2025-03-15
25,Matthew Clark,melanie73@yahoo.com,2024-01-29,basic,432.42,2024-09-17 16:26:27,True,2024-03-06
26,Ronald Wood,billperez@yahoo.org,2024-05-15,pro,65.7,2025-04-07 11:47:07,False,
27,Courtney Walsh,haleabigail@yahoo.com,2024-09-04,basic,460.84,2025-04-27 13:43:08,True,2025-01-28
28,Sandra Horton,greenenicholas@yahoo.net,2023-09-20,basic,434.41,2024-11-27 01:09:47,False,
