customer_id,name,email,signup_date,plan,monthly_spend,last_login,churned,churn_date
1,Alexis Chang,david08@yahoo.com,2024-12-31,free,227.3,2025-04-15 23:41:16,False,
2,Victoria Scott,nathansosa@yahoo.org,2024-01-26,free,291.02,2024-04-13 16:06:43,False,
3,Joseph Dickson,ellismorgan@yahoo.com,2023-12-02,pro,366.89,2024-12-01 22:07:12,False,
4,Donald Coleman,whunt@yahoo.net,2024-09-04,enterprise,11.5,2024-11-06 05:01:32,True,2025-01-09
5,Joshua Ellis,sheriross@yahoo.org,2025-02-06,basic,134.42,2025-02-08 22:43:21,False,
6,Jason Thornton,william20@yahoo.net,2024-11-10,enterprise,341.07,2025-05-01 00:17:32,False,
7,Amy Smith,amyjacobs@yahoo.com,2024-03-31,free,412.31,2025-04-07 14:09:32,False,
8,Melissa Mullins,anthonycampbell@yahoo.org,2024-08-03,pro,162.16,2025-01-01 04:20:46,True,2025-04-09
9,Kelly Padilla,heatherschneider@yahoo.net,2025-02-17,enterprise,484.91,2025-05-15 19:31:44,False,
10,Derrick Munoz,earlshannon@yahoo.net,2024-10-28,free,183.41,2025-01-21 17:10:55,False,
11,Jesse Price,april09@yahoo.com,2024-06-16,enterprise,148.01,2025-03-11 06:47:56,False,
12,Monica Thomas,ewest@yahoo.net,2024-10-29,free,140.74,2025-01-19 07:21:18,False,
13,Jason House,amanda55@yahoo.org,2023-09-17,enterprise,355.54,2023-12-12 11:35:19,False,
14,Kelly Evans,veronica73@yahoo.org,2024-11-26,basic,101.89,2025-03-18 11:18:05,False,
15,Cassandra Freeman,pearsonchristine@yahoo.com,2024-10-03,basic,221.48,2025-01-28 13:39:34,False,
16,Audrey Schneider,turneradam@yahoo.net,2024-10-09,enterprise,188.77,2025-02-17 20:03:23,True,2024-10-12
17,Melissa Jenkins,washingtonmonica@yahoo.net,2025-03-04,free,148.09,2025-03-16 03:13:50,False,
18,John Lee,laura45@yahoo.com,2024-07-16,pro,393.37,2025-01-05 21:50:06,False,
19,Lisa Diaz,robertsluis@yahoo.net,2023-09-09,pro,360.77,2024-08-12 05:22:56,False,
20,Jake Dominguez,lauraanderson@yahoo.com,2025-04-25,basic,73.22,2025-04-26 21:51:53,False,
21,Kimberly Matthews,jenningsanthony@yahoo.com,2025-04-14,basic,4.17,2025-05-15 23:18:26,True,2025-05-14
22,Emily Harrison,teresa88@yahoo.com,2024-02-08,enterprise,376.32,2024-09-09 05:32:18,False,
23,Jordan Morgan,liuchristopher@yahoo.com,2023-06-26,pro,205.9,2025-01-27 18:39:55,True,2024-01-22
24,Caitlyn Blake,ruthharris@yahoo.com,2023-06-02,enterprise,432.98,2024-10-03 12:49:32,False,
25,Jennifer Cox,gabrielawalker@yahoo.net,2024-04-17,pro,364.39,2025-01-01 12:06:57,True,2024-05-01
26,Edwin Floyd,bushwilliam@yahoo.org,2025-02-27,basic,203.35,2025-05-01 09:32:29,True,2025-03-28
27,Brandon Livingston,kyle88@yahoo.org,2025-04-28,enterprise,265.22,2025-05-13 04:39:47,True,2025-05-12
28,Kimberly Holmes DVM,youngchristopher@yahoo.net,2024-08-23,free,103.04,2024-09-04 05:38:22,False,
29,Jennifer Hoffman,michaelhawkins@yahoo.com,2025-04-30,basic,369.26,2025-05-18 02:58:30,True,2025-05-07
30,Sarah Moore,lisa20@yahoo.net,2024-09-18,free,492.33,2025-02-13 21:20:11,True,2025-01-13
31,Michael Rodriguez,andre41@yahoo.org,2024-09-07,free,173.33,2025-05-04 21:20:54,True,2024-09-26
